TABLE OF COMMUNICABLE DISEASES,,,,,
Disease,synns and symptoms,Incubation,Communicability,,Prevention
Pertussis É?? whooping cough,"1st phase É?? common cold symptoms
lasts 1-2 weeks. 2nd phase lasts month or longer. No fever. Mild cough that can become severe and violent, productive. 3rd phase É?? frequency and severity of coughing decreases.",6-20 days,"Transmitted via respiratory secretions or in an aerosolized form. Highly
contagious except in 3rd phase.
Communicability greatest before 2nd phase.",,"Mask pt.
DPT vaccination in childhood series (not sure how long immunity lasts)."
Pneumonia,"Chills, high fever, dyspnea, pleuritic chest pain worsened by deep inspiration, cough, crackles and wheezes heard on breath sounds",,Highest risk are the non-healthy populations,,"Masks.  Vaccination available esp for children
<2 years old and adults
>65 and for those post- splenectomy."
Rubella É?? German measles; virus,"Generally milder than measles. Sore throat, low grade fever. Fine pink rash on face, trunk and extremities lasting about 3 days.",12-19 days,Inhalation of infective droplets,,"Mask pt.
MMR vaccination part of childhood program."
SARS (severe acute respiratory syndrome),"Viral disease.  Fever >100.4oF, chills,
headache, body achiness, respiratory complaints (cough, SOB, dyspnea, pneumonia), pulse ox <94% room air, travel within 10 days of symptoms to Ontario, Canada, PeopleÉ??s Republic of China, Vietnam, Taiwan, and/or Singapore OR close contact with symptomatic person within 10 days of symptoms.",Typically 2-7 days up to 10 days,"Respiratory droplets when coughing or sneezing droplets into air.  Can touch infectious material on environmental surfaces and bring to your eyes, nose,",,"Fit tested N-95 respirators for caregivers within 6 feet of patient.
Patient to also wear N- 95 mask. Caregivers to wear gloves, gowns, goggles, and face shields. Proper handwashing extremely important. Wear protective gear when"
Disease,synns and symptoms,Incubation,Communicability,,Prevention
SARS,,,mouth by unwashed hands.,,cleaning equipment and rig.  Avoid aerosolizing infectious material.
Scabies,"A parasitic disease of skin caused by a mite. Penetration is visible as papules, vesicles, or tiny linear burrows containing mites and their eggs. Lesions prominent around finger webs, anterior surfaces of wrists and elbows, anterior axillary folds, belt line, thighs, external genitalia in men, nipples and abd and lower portion of buttocks in women. Itching intense esp at night.  Complications limited to lesions that get infected from scratching.",2-6 weeks before onset of itching. Reexposure É?? symptoms develop in 1-4 days.,"Transmitted skin to skin contact. Transfer from underwear and bedclothes only if immediate contact.
Communicable until eggs and mites are destroyed by tx, ordinarily 1 or occasionally 2 courses of tx 1 week apart.",,Educate on mode of transmission and need for early diagnosis and tx. No work or school until day after tx started.  Contact isolation. Disinfection for clothes and bed sheets used 48 hours prior to start of tx. Tx is a topical solution.
"Shingles (varicella- zoster virus)
Second outbreak of the chicken pox virus.","Localized manifestation of vesicle with red base on skin areas. They follow a nerve tract most often on the chest wall and are usually unilateral and linear.
Severe pain and paresthesia (tingling, prickling sensation) are common.
Rash or blisters present 1-14 days.",,Shingles itself is not contagious but contact with someone with shingles could lead to chicken pox in someone who never had it,,"After chickenpox, the virus is dormant in nerve tissue; as we age, the virus may reappear as shingles when the dormant virus becomes active.  Most common in persons >50."
"Smallpox É?? serious, contagious and sometimes fatal disease (30% mortality rate). Last case in USA in 1949 (in the world was 1977 in Somalia). Caused by variola virus.
Humans only","1st symptoms last 2-4 days: high fever, malaise (not feeling well), head
and body aches, sometimes vomiting. Best to isolate the patient at time of fever and not to wait for development of rash.
Next 4 days (most contagious): rash emerges 1st as small red spots on tongue and in mouth. Spots turn into sores that break open and spread virus into mouth and throat. Then rash develops spreading on whole body","12-14 days but
can range 7-17 days.  Not contagious until the rash emerges.",Stable in aerosol form. Spread directly from person to person primarily by droplet or aerosol. Could also be spread via contaminated clothing or bed linens. Those most at risk are,,"No treatment currently. Vaccinations stopped in 1972 in the USA. Autoclave clothing and linens. Contaminated surfaces should be washed with hypochlorite (bleach) and quaternary ammonia.
Treatment is supportive in nature. Vaccination within 3 days will prevent"
Disease,synns and symptoms,Incubation,Communicability,,Prevention
"known natural hosts of variola. One confirmed case qualifies as a public health emergency.
(smallpox)","within 24 hours. Rash becomes raised bumps that become liquid filled.
Next 5 days ( still contagious): bumps become pustules (sharply raised, round and firm bumps).
Next 5 days (still contagious): pustules begin to form a crust and then scab.
Next 6 days (still contagious): scabs begin to fall off leaving marks on skin that eventually turn into pitted scars.
Contagious until all scabs fall off: (about 3 weeks after rash appears). Scabs must be properly disposed of as they fall off",,those with close contact (live in the same home or have spent at least 3 hours in the same room with someone who has smallpox).,,"or significantly modify smallpox for most.
Vaccination 4-7 days post exposure may offer some protection or modify severity of disease.
For those vaccinated, the site needs to be kept covered and dry. The bandage should be changed every 1-2 days keeping the site covered with clothing.  Avoid spread of vaccinia virus to other parts of body with good handwashing especially after touching the bandage or vaccination site."
Tuberculosis (Tb) É?? bacterial disease,"Primarily affects resp system. May spread to other organ systems.
Development of disease about 6-12 months after infection. Chills, fever, fatigue, productive or non-productive chronic cough, weight loss, night sweats, hemoptysis.
TB?ˇinfection?ˇÉ?? person has the bacteria but are not sick and not capable of spreading the disease.  May become ill if health status changes.
May be treated prophylactically for now.
TB?ˇdisease?ˇÉ?? person ill, is capable of spreading the disease. Needs meds.","4-12-weeks Persons most susceptible: HIV, close contact with TB pt, immunocompro- mised, foreign borne in country with high TB rate, Some HCW and prison guards, malnourished, ETOH and drug users.","Most commonly through airborne resp droplets.
Repeated exposure is generally necessary to become infected so prolonged exposure increases risk.",,"Universal precautions. Mask pt and self. The TB organism dies when exposed to light and air. Skin test annually.  If the TB skin test is positive, will still need to be evaluated to determine if the TB is active.
Incidence of TB rose in 1985, started to decline in 1992 to date probably due to improved control programs. TB can be cured with meds."
"VRE É??
vancomycin-",Most susceptible are those with weak immune systems or those treated with,,Highly communicable,,Hardy germ; can survive on hard surfaces 5-7
Disease,synns and symptoms,Incubation,Communicability,,Prevention
"resistant enterococcus.
(VRE)","many antibiotics. Most often found in stool. Also in urine, blood, infected wounds, other body fluids (or wherever it can be carried by the bloodstream)",,with direct and indirect contact,,"days and on hands for hours. Easy to kill with good handwashing.
Protective gowns and gloves to be worn."
Disease,synns and symptoms,Incubation,Communicability,,Prevention
"West Niles Virus
(West Nile fever É?? mild disease with flu-like symptoms that last few days, no long term health effects).
(West Nile Encephalitis or MeningitisÉ?? Less than 1% of those infected. The most severe form of infection.
Encephalitis is inflammation of the brain and meningitis is inflammation of the membranes of the brain.","Most victims asymptomatic.
Mild?ˇinfection?ˇ(20% of those infected): fever, headache, body aches, occ rash on trunk, swollen lymph glands. Symptoms generally last 3-6 days.
Severe?ˇinfection?ˇ(less than 1%): headache, high fever, neck stiffness, stupor, disorientation, coma, tremors, convulsions, muscle weakness, paralysis.  Encephalitis reported more commonly than meningitis.","Usually 3-14 days Infection is
suspected based on clinical symptoms and history and confirmed with a laboratory test measuring the antibodies that are produced early.",The disease is spread by a bite of an infected mosquito or blood transfusion of contaminated blood. The virus is in the blood a very short time; people develop an antibody for further protection. The disease is not?ˇtransmitted from person to person.,,"Avoid activities that expose you to mosquito bites; use insect repellant sparingly and one that contains DEET. Use netting over infant carriers.  Try to avoid the outdoors at dawn, dusk
and early evening.  There is no specific treatment, but supportive care for symptoms.  Infections do not last very long."
"Avian or Bird Flu
A contagious disease of animals caused by viruses that normally affect only birds and occasionally pigs. Wild birds carry the disease but rarely get sick.
Domesticated birds get sick and","Typical influenza-like symptoms:
Fever, cough, sore throat, muscle aches, eye infections (conjunctivitis), acute respiratory distress, viral pneumonia.","Be cautious of patients with recent travel within last 10 days to countries with the bird flu activity:
9 Asian countries Russia Kazakhstan Mongolia
Turkey Romania","Direct contact with infected poultry, contaminated surfaces and objects contaminated with animal feces. Human exposure is most likely during slaughter, defeathering, butchering and",,"Good handwashing before and after food preparation. Practice good hygiene during food preparation. Avoid contact with juices from raw poultry mixing with other items to be eaten. Properly and fully cook poultry. Fully cook eggs
É?? no runny yolks. Normal cooking temperatures kill the virus. Thorough cleaning and disinfecting"
Disease,synns and symptoms,Incubation,Communicability,,Prevention
"Avian/bird flu
die. Concern is mutation to humans",,"Now considered free of disease: Japan, the Republic of Korea, and Malaysia","preparation for cooking.
The bird flu is not transmitted through fully and properly cooked food.",,"of surfaces in contact with raw poultry (soap and water is adequate).
Patient treatment: treat patients with severe febrile respiratory illness with standard precautions (good handwashing) including gloves, gowns, eye protection if witin 3 feet of patient, and airborne precautions (N95 mask). Continue precautions for 14 days after onset of symptoms.
Recommended that healthcare workers get vaccinated with the current É??fluÉ?ù vaccine."
File: Table of Comm Diseases,,,,,
12-Mar,,,,,
Revised 2/06,,,,,
